B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B27, Trade, 141.688, 215, S22, B27, 1
B27, Trade, 151.687, 215, S20, B27, 1
B27, Trade, 170.787, 206, S20, B27, 1
B27, Trade, 179.075, 211, S17, B27, 1
B27, Trade, 181.000, 193, S07, B27, 1
B27, Trade, 192.300, 196, S18, B27, 1
B27, Trade, 211.612, 208, S07, B27, 1
B27, Trade, 220.425, 201, S17, B27, 1
B27, Trade, 226.675, 207, S13, B27, 1
B27, Trade, 236.812, 227, S24, B27, 1
B27, Trade, 254.362, 207, S17, B27, 1
B27, Trade, 268.825, 210, S11, B27, 1
B27, Trade, 272.025, 224, S20, B27, 1
B27, Trade, 285.337, 191, S18, B27, 1
B27, Trade, 296.350, 191, S12, B27, 1
B27, Trade, 307.737, 314, S03, B27, 1
B27, Trade, 319.887, 344, S17, B27, 1
B27, Trade, 331.012, 355, S13, B27, 1
B27, Trade, 338.337, 358, S23, B27, 1
B27, Trade, 351.125, 352, S12, B27, 1
B27, Trade, 352.800, 356, S04, B27, 1
B27, Trade, 369.350, 350, S11, B27, 1
B27, Trade, 374.387, 347, S09, B27, 1
B27, Trade, 385.462, 348, S07, B27, 1
B27, Trade, 397.600, 369, S27, B27, 1
B27, Trade, 403.675, 344, S17, B27, 1
B27, Trade, 419.225, 337, S08, B27, 1
B27, Trade, 422.712, 354, S13, B27, 1
B27, Trade, 432.087, 352, S09, B27, 1
B27, Trade, 445.775, 356, S22, B27, 1
B27, Trade, 461.837, 355, S05, B27, 1
B27, Trade, 465.825, 352, S04, B27, 1
B27, Trade, 476.962, 341, S09, B27, 1
B27, Trade, 488.037, 355, S11, B27, 1
B27, Trade, 498.687, 358, S11, B27, 1
B27, Trade, 501.412, 351, S19, B27, 1
B27, Trade, 515.787, 358, S23, B27, 1
B27, Trade, 527.100, 347, S03, B27, 1
B27, Trade, 534.212, 344, S13, B27, 1
B27, Trade, 548.125, 358, S23, B27, 1
B27, Trade, 561.737, 353, S11, B27, 1
B27, Trade, 579.025, 360, S22, B27, 1
